[2024-03-27 21:48:55]-[file: C:\xampp\htdocs\login\logout.php | line: 13]-[Jr]-[Jr logged out.]

[2024-03-27 21:52:45]-[file: C:\xampp\htdocs\login\reset-pass.php | line: 27]-[Guest]-[null]

[2024-03-27 21:52:46]-[file: C:\xampp\htdocs\login\reset-pass.php | line: 27]-[Guest]-[{"email":"teste@login.com"}]

[2024-03-27 21:52:47]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

[2024-03-27 21:53:05]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

[2024-03-27 21:56:39]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

[2024-03-27 21:58:40]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

[2024-03-27 22:00:48]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

[2024-03-27 22:04:06]-[file: C:\xampp\htdocs\login\reset-pass.php | line: 27]-[Guest]-[null]

[2024-03-27 22:04:07]-[file: C:\xampp\htdocs\login\reset-pass.php | line: 27]-[Guest]-[{"email":"teste@login.com"}]

[2024-03-27 22:04:07]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

[2024-03-27 22:05:21]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

[2024-03-27 22:07:56]-[file: C:\xampp\htdocs\login\reset-pass.php | line: 27]-[Guest]-[null]

[2024-03-27 22:07:57]-[file: C:\xampp\htdocs\login\reset-pass.php | line: 27]-[Guest]-[{"email":"teste@login.com"}]

[2024-03-27 22:07:57]-[file: C:\xampp\htdocs\login\reset-link.php | line: 33]-[Guest]-[null]

